cleaned_text,label,confidence,fact_score,misinfo_score,timestamp,claim_intent
vitamin and mineral supplements cannot cure covid-19,MISINFORMATION,0.7799661159515381,0.6859814524650574,0.7799661159515381,2026-01-21T19:05:35.884061,CURE
water or swimming does not transmit the covid-19 virus,LIKELY CORRECT,0.5,0.586908757686615,0.5663597583770752,2026-01-21T19:11:05.317897,GENERAL_WELLNESS
the likelihood of shoes spreading covid-19 is very low,UNVERIFIED,0.4,0.586860716342926,0.5363724231719971,2026-01-21T19:11:32.800439,GENERAL_WELLNESS
adding pepper to your soup or other meals does not prevent or cure covid-19,CORRECT INFORMATION,0.9765984296798706,0.9265984296798706,0.7286162376403809,2026-01-21T19:28:24.286458,CURE
drinking methanol ethanol or bleach does not prevent or cure covid-19 and can be extremely dangerousmethanol ethanol and bleach are poisons,CORRECT INFORMATION,0.98,0.9738032817840576,0.7709121108055115,2026-01-21T19:30:13.724639,CURE
exposing yourself to the sun or temperatures higher than 25 c does not protect you from covid-19,CORRECT INFORMATION,0.9717588305473328,0.9217588305473328,0.5939051508903503,2026-01-21T19:30:38.221463,GENERAL_WELLNESS
covid 19 is cured by chilli powder,CORRECT INFORMATION,0.550331461429596,0.750331461429596,0.6953498125076294,2026-01-21T19:31:08.464714,CURE
covid 19 is cured by eating soap,LIKELY MISINFORMATION,0.65,0.7265280485153198,0.6714063882827759,2026-01-21T19:33:44.799666,CURE
covid 19 is cured by eating chicken,LIKELY MISINFORMATION,0.65,0.6613494157791138,0.6280341744422913,2026-01-21T19:33:59.255718,CURE
covid 19 is cured by eating fish and masala,LIKELY MISINFORMATION,0.65,0.6416385769844055,0.6206412315368652,2026-01-21T19:34:17.169977,CURE
covid 19 is cured by taking medicene,MISINFORMATION,0.7910078763961792,0.7264978289604187,0.7910078763961792,2026-01-21T19:34:27.252896,CURE
covid 19 is cured by taking medicine,MISINFORMATION,0.8076459169387817,0.7949488759040833,0.8076459169387817,2026-01-21T19:34:34.841630,CURE
